iter	RMSE
359	656.1552375
360	656.1468459
361	656.1389128
362	656.1368304
363	656.1356356
364	656.1296708
365	656.1252689
366	656.1163262
367	656.1111753
368	656.1063658
369	656.1006396
370	656.0993114
371	656.0921121
372	656.0878814
373	656.081993
374	656.0717867
375	656.0671519
376	656.0651346
377	656.0595846
378	656.0539237
379	656.0455929
380	656.0329994
381	656.0256808
382	656.0232348
383	656.0195029
384	656.0150868
385	656.0074752
386	655.99961
387	655.9933429
388	655.9926926
389	655.9886965
390	655.9839007
391	655.9803261
392	655.979261
393	655.975185
394	655.9740049
395	655.9725416
396	655.9705014
397	655.9658165
398	655.9638639
399	655.9619278
400	655.9592689
401	655.9543168
402	655.9490748
403	655.944127
404	655.9351762
405	655.9346387
406	655.9272719
407	655.9268647
408	655.9256147
409	655.9231179
410	655.9180411
411	655.9122042
412	655.9055495
413	655.9010407
414	655.8960767
415	655.891475
416	655.8885183
417	655.8829064
418	655.8768153
419	655.8710883
420	655.8661858
421	655.8636978
422	655.8628061
423	655.8578173
424	655.8514198
425	655.8485406
426	655.845806
427	655.8430099
428	655.8406135
429	655.8315428
430	655.8296021
431	655.8228861
432	655.8212795
433	655.8205953
434	655.8161413
435	655.8117857
436	655.8070253
437	655.7986493
438	655.796295
439	655.795754
440	655.7930989
441	655.7922729
442	655.7907581
443	655.7856506
444	655.7836554
445	655.7805813
446	655.7770934
447	655.772376
448	655.769059
449	655.7661524
450	655.7622709
451	655.7577195
452	655.7572271
453	655.7521959
454	655.74932
455	655.7455764
456	655.7401524
457	655.7396485
458	655.7360322
459	655.7341806
460	655.7277661
461	655.717744
462	655.7147989
463	655.7126159
464	655.7090297
465	655.7070873
466	655.7041722
467	655.7023707
468	655.6955745
469	655.6948457
470	655.6921527
471	655.6884325
472	655.6855464
473	655.6822188
474	655.6798355
475	655.6767173
476	655.6745708
477	655.6683133
478	655.6661811
479	655.6650462
480	655.6645495
481	655.6635106
482	655.658522
483	655.6546751
484	655.6483124
485	655.647075
486	655.6426487
487	655.6418794
488	655.6397883
489	655.637419
490	655.6362772
491	655.6326062
492	655.6290402
493	655.6268513
494	655.6239906
495	655.6187693
496	655.6182312
497	655.6165619
498	655.612907
499	655.6106602
500	655.6100329
501	655.6094714
502	655.6073566
503	655.6065276
504	655.601411
505	655.5986961
506	655.5981509
507	655.5965411
508	655.5949455
509	655.593759
510	655.5930247
511	655.5906233
512	655.5892824
513	655.5864612
514	655.5850085
515	655.5845799
516	655.5832472
517	655.5774462
518	655.5769559
519	655.5750958
520	655.5738662
521	655.5734559
522	655.5719009
523	655.5702743
524	655.5662441
525	655.5650993
526	655.5627719
527	655.5559593
528	655.5530111
529	655.5519367
530	655.5455322
531	655.542822
532	655.5414178
533	655.5406899
534	655.5403217
535	655.5381893
536	655.5376953
537	655.5354068
538	655.5313932
539	655.5257937
540	655.5233848
541	655.5210699
542	655.5169994
543	655.5163144
544	655.5108057
545	655.5080576
546	655.507505
547	655.5054165
548	655.5029521
549	655.5007731
550	655.5003648
551	655.499263
552	655.4980596
553	655.4945374
554	655.4911989
555	655.4894743
556	655.4888349
557	655.4840147
558	655.4807581
559	655.4798877
560	655.4794461
561	655.4787885
562	655.4785367
563	655.4745899
564	655.4721574
565	655.4713303
566	655.4663507
567	655.4651209
568	655.4636051
569	655.4618472
570	655.4607719
571	655.4549282
572	655.4523376
573	655.4500547
574	655.4463081
575	655.4443243
576	655.441006
577	655.440032
578	655.4362962
579	655.4335047
580	655.4320964
581	655.4307424
582	655.4286353
583	655.4263931
584	655.4249809
585	655.4220353
586	655.420209
587	655.4155316
588	655.4135402
589	655.4123473
590	655.4118495
591	655.4112846
592	655.40642
593	655.4061998
594	655.4006661
595	655.3993375
596	655.394499
597	655.3918172
598	655.3873137
599	655.3867296
600	655.3824247
601	655.3802757
602	655.3798908
603	655.3778813
604	655.3771217
605	655.374543
606	655.3721561
607	655.3698402
608	655.3693214
609	655.3677467
610	655.3659252
611	655.3618974
612	655.3600601
613	655.3564142
614	655.355178
615	655.3541263
616	655.3539563
617	655.3534323
618	655.3492396
619	655.3465822
620	655.345843
621	655.3453278
622	655.3421852
623	655.3392253
624	655.3386268
625	655.3368643
626	655.3324831
627	655.3310187
628	655.3276535
629	655.3246205
630	655.3234304
631	655.3212494
632	655.3200128
633	655.3183019
634	655.31413
635	655.3135714
636	655.3122781
637	655.3107636
638	655.3092276
639	655.306541
640	655.305001
641	655.3045779
642	655.3026799
643	655.2999303
644	655.2985542
645	655.2957214
646	655.2951021
647	655.2936908
648	655.2930636
649	655.2919441
650	655.2900996
651	655.2896781
652	655.2893978
653	655.2886856
654	655.2880945
655	655.2848815
656	655.2838368
657	655.2836602
658	655.2835292
659	655.282378
660	655.2817483
661	655.2809165
662	655.2780001
663	655.2774458
664	655.275835
665	655.2755329
666	655.2742436
667	655.2719694
668	655.2706966
669	655.2692692
670	655.2681479
671	655.2654771
672	655.2643867
673	655.2626987
674	655.2614532
675	655.2587814
676	655.255922
677	655.2541745
678	655.2538065
679	655.25201
680	655.2503492
681	655.2502273
682	655.2500879
683	655.2484345
684	655.2478334
685	655.2460916
686	655.2435127
687	655.2426691
688	655.2406579
689	655.2385123
690	655.2341989
691	655.2326851
692	655.2310901
693	655.2282025
694	655.2281298
695	655.2261707
696	655.226092
697	655.2256665
698	655.2235141
699	655.2223896
700	655.222072
701	655.2215323
702	655.221349
703	655.2186313
704	655.2159305
705	655.2153778
706	655.2149753
707	655.2135864
708	655.2107217
709	655.2070452
710	655.2053115
711	655.2040721
712	655.2021789
713	655.1998362
714	655.1976093
715	655.1971098
716	655.1949411
717	655.1935405
718	655.193276
719	655.190699
720	655.1905406
721	655.1890565
722	655.1885121
723	655.1859012
724	655.1849742
725	655.184136
726	655.1813593
727	655.1810427
728	655.1803626
729	655.1801944
730	655.1782592
731	655.1779035
732	655.1764126
733	655.174041
734	655.1730099
735	655.1726051
736	655.1720908
737	655.1717527
738	655.1716633
739	655.1698957
740	655.1694051
741	655.1690269
742	655.1686439
743	655.1674964
744	655.1650495
745	655.1648436
746	655.1635666
747	655.1632334
748	655.1620942
749	655.1612562
750	655.1606609
751	655.1579356
752	655.1575655
753	655.1568373
754	655.1561085
755	655.1537937
756	655.1525906
757	655.152065
758	655.1519097
759	655.15122
760	655.1496207
761	655.1486134
762	655.1472408
763	655.1467373
764	655.1451081
765	655.1448653
766	655.1445803
767	655.1434267
768	655.142507
769	655.1422769
770	655.1413291
771	655.1407899
